ano,numero,ementa,autores,id,texto_original,OCCUPATION,PERSON,REGION,ORG,STREET,MISC,LOC,DATE,address,city,country,lat,lng,state,postal
2022,347,"Requer que seja encaminhada a seguinte solicitação ao Excelentíssimo Prefeito Municipal, SENHOR JOSÉ DA SILVA COELHO NETO:
1.	Que determine à Secretaria de Serviços e Obras Públicas para que realize o empedramento e passagem do rolo compactador no final da Rua 13 de Maio;
 2.	Que inclua no cronograma de obras o asfaltamento no trecho do final da Rua 13 de Maio, na Vila Rennó.",143,3850,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2022/3850/347-2022.pdf,"('Prefeito Municipal',)","('SENHOR JOSÉ DA SILVA COELHO',)","('Vila Rennó',)","('Secretaria de Serviços e Obras Públicas',)",Rua 13 de Maio,,,,"Rua Treze De Maio Santo Antônio da Platina - Paraná, 86430-000, Brazil",Santo Antônio da Platina,Brazil,-23.2974757,-50.0763831,Paraná,86430-000
2022,547,"Solicita à Secretaria Municipal de Serviços e Obras Públicas para que realize operação tapa buraco nos seguintes logradouros:
1.	Na Rua 13 de Maio, pelo menos desde o cruzamento com a Rua 24 de Maio até o Hospital;
2.	E na Rua José Antunes Ferreira, que desce do Hospital até o bairro do Sindicato, pois os moradores estão pedindo socorro com os buracos das ruas.",14,4091,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2022/4091/547-2022.pdf,,,,"('Secretaria Municipal de Serviços e Obras Públicas', 'Hospital')",Rua 13 de Maio,,"('bairro do Sindicato',)",,"Rua Treze De Maio Santo Antônio da Platina - Paraná, 86430-000, Brazil",Santo Antônio da Platina,Brazil,-23.2974757,-50.0763831,Paraná,86430-000
2023,121,"Solicita ao Departamento Municipal de Trânsito para que tome as seguintes providências:
•	Colocação de placa de sinalização do local reservado para “carga e descarga” do Supermercado Luzitano, localizado na Rua 13 de Maio.
•	Estudos para mudança de sentido da rua em frente à Capela Santa Cruz, no Jardim do Sol, tornando via de mão dupla.
•	Informações sobre os impostos recolhidos da Zona de Estacionamento Rotativo Pago (Zona Azul), se os mesmos ficam em nosso munícipio, ou pertencem ao município da matriz da empresa. 
•	Providencie o necessário reforço da pintura nas lombadas existentes no Distrito da Platina, uma vez que vários cidadãos nos têm reclamado da dificuldade em visualizar essas lombadas devido ao desgaste natural da pintura.",20,4401,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2023/4401/121-2023.pdf,,,"('Jardim do Sol', 'Distrito da Platina')","('Departamento Municipal de Trânsito', 'Supermercado Luzitano', 'Capela Santa Cruz')",Rua 13 de Maio,"('Zona de Estacionamento Rotativo Pago', 'Zona Azul')",,,"Rua Treze De Maio Santo Antônio da Platina - Paraná, 86430-000, Brazil",Santo Antônio da Platina,Brazil,-23.2974757,-50.0763831,Paraná,86430-000
2021,14,"Solicita ao Executivo uma faixa elevada na Rua 13 de Maio, esquina com Rua Dep. Benedito Lúcio Machado.",20,2683,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2683/14-2021.pdf,,,,"('Executivo',)",Rua Dep.,,,,"Rua Benedito Lúcio Machado Santo Antônio da Platina - Paraná, 86430-000, Brazil",Santo Antônio da Platina,Brazil,-23.3026664,-50.0764571,Paraná,86430-000
2022,275,"Solicita ao Departamento Municipal de Trânsito o reforço urgente da sinalização viária (pintura e placas) na esquina entre as Ruas Floriano Peixoto e Rua Dep. José Afonso. Pois trata-se de um cruzamento movimentado, próximo a dois colégios, onde diversos acidentes vem ocorrendo conforme relato de moradores vizinhos. Portanto, é necessário um reforço na sinalização de preferencial, desgastada pela ação do tempo, para que motoristas fiquem mais alerta, evitando assim outros acidentes nesse cruzamento.",17,3761,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2022/3761/275-2022.pdf,,,,"('Departamento Municipal de Trânsito',)",Rua Dep.,,,,"Rua Benedito Lúcio Machado Santo Antônio da Platina - Paraná, 86430-000, Brazil",Santo Antônio da Platina,Brazil,-23.3026664,-50.0764571,Paraná,86430-000
2021,14,"Solicita ao Executivo uma faixa elevada na Rua 13 de Maio, esquina com Rua Dep. Benedito Lúcio Machado.",20,2683,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2683/14-2021.pdf,,,,"('Executivo',)",Benedito Lúcio Machado,,,,"Rua Benedito Lúcio Machado Santo Antônio da Platina - Paraná, 86430-000, Brazil",Santo Antônio da Platina,Brazil,-23.3026664,-50.0764571,Paraná,86430-000
2021,189,"Requer que seja expedido ofício ao Escritório Regional do Norte Pioneiro do DER-PR, em agradecimento as obras que estão sendo realizadas na Rodovia Estadual Dep. Benedito Lúcio Machado, que certamente irá beneficiar à população platinense.
Além disso, temos a certeza a implantação de nova sinalização irá auxiliar na redução dos números de acidentes naquele trecho.",143,2873,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2873/189-2021.pdf,,,,"('Escritório Regional do Norte Pioneiro do DER-PR',)",Benedito Lúcio Machado,,,,"Rua Benedito Lúcio Machado Santo Antônio da Platina - Paraná, 86430-000, Brazil",Santo Antônio da Platina,Brazil,-23.3026664,-50.0764571,Paraná,86430-000
2021,17,"Solicita ao Executivo que coloque uma imagem da Santa Terezinha no Menino Jesus na Praça Prof.ª Albertina França de Avelar Silveira, no Povoado da Platina.",20,2686,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2686/17-2021.pdf,,,"('Santa Terezinha no Menino Jesus', 'Povoado da Platina')","('Executivo',)",Praça Prof.ª Albertina França de Avelar Silveira,,,,Praça Platina,,,-23.3141940626758,-50.0079601084573,,
2021,25,"Solicita ao Executivo melhorias na iluminação da Rua Nossa Senhora das Graças, Vila Rennó.",17,2694,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2694/25-2021.pdf,,,"('Vila Rennó',)","('Executivo',)",Rua Nossa Senhora das Graças,,,,"Rua Nossa Senhora Das Gracas Santo Antônio da Platina - Paraná, Brazil",Santo Antônio da Platina,Brazil,-23.3010487,-50.0853001,Paraná,
2022,79,"Solicita à Secretaria Municipal de Serviços e Obras Públicas, para tome as seguintes providências:
1.	Realize a passagem de máquina e devida manutenção na estrada rural da Bocaina;

2.	Passagem de máquina no fim da Rua Nossa Senhora das Graças, Vila Rennó, conforme solicitação dos moradores.",143,3545,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2022/3545/79-2022.pdf,,,"('Bocaina', 'Vila Rennó')","('Secretaria Municipal de Serviços e Obras Públicas',)",Rua Nossa Senhora das Graças,,,,"Rua Nossa Senhora Das Gracas Santo Antônio da Platina - Paraná, Brazil",Santo Antônio da Platina,Brazil,-23.3010487,-50.0853001,Paraná,
2023,108,"Solicita ao Departamento Municipal de Trânsito para que providencie redutores de velocidade (lombada) na Rua Nossa Senhora das Graças, e também na Rua Paulo de Abreu, no Jardim Bellagio, na altura do nº 180, visto que tem ocorrido acidentes devido à alta velocidade com que os veículos têm transitado por esses locais, conforme foto de acidentes ocorridos recentemente.",143,4388,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2023/4388/108-2023.pdf,,,"('Jardim Bellagio',)","('Departamento Municipal de Trânsito',)",Rua Nossa Senhora das Graças,,,,"Rua Nossa Senhora Das Gracas Santo Antônio da Platina - Paraná, Brazil",Santo Antônio da Platina,Brazil,-23.3010487,-50.0853001,Paraná,
2021,29,"Solicita ao Executivo uma faixa elevada na Rua José Carlos Gomes de Carvalho, Residencial Bellagio.",17,2698,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2698/29-2021.pdf,,,"('Residencial Bellagio',)","('Executivo',)",Rua José Carlos Gomes de Carvalho,,,,R. Jose Carlos Gomes de Carvalho - Santo Antônio da Platina,,,-23.2944581875213,-50.0507429032603,,
2021,425,"Requer ao Diretor do Departamento Municipal de Engenharia da COPEL, que, com urgência, proceda a troca do poste danificado da Rua José Carlos Gomes de Carvalho, no cruzamento com a estação da SANEPAR, no Jardim Bellagio, pois houve um acidente no local, uma colisão no poste, que causou danos em sua base, conforme fotos em anexo.",17,3139,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/3139/425-2021.pdf,"('Diretor',)",,"('Jardim Bellagio',)","('Departamento Municipal de Engenharia da COPEL', 'SANEPAR')",Rua José Carlos Gomes de Carvalho,,,,R. Jose Carlos Gomes de Carvalho - Santo Antônio da Platina,,,-23.2944581875213,-50.0507429032603,,
2021,429,"Requer ao Excelentíssimo Prefeito Municipal, Senhor José da Silva Coelho Neto, que determine a Secretaria Municipal de Serviços e Obras Públicas que realize as contenções necessárias em um entroncamento perigoso no Jardim Bellagio.
Em visita realizada ao local, juntamente com o Diretor do Departamento Municipal de Trânsito, verificou-se a necessidade urgente de contenção de velocidade na Rua José Carlos Gomes de Carvalho, onde já ocorreram diversos acidentes.
Também se faz necessária a execução de um contorno, obrigando o motorista a reduzir a velocidade e manter-se em sua via de tráfego, evitando a invasão da pista contrária.
Um morador em frente a este entroncamento teve inclusive que proteger seu imóvel com sinalização incomum, pois o abuso dos motoristas é recorrente (chegando até a danificar o poste da COPEL).",17,3143,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/3143/429-2021.pdf,"('Prefeito Municipal', 'Diretor')","('Senhor José da Silva Coelho Neto',)","('Jardim Bellagio',)","('Secretaria Municipal de Serviços e Obras Públicas', 'Departamento Municipal de Trânsito', 'COPEL')",Rua José Carlos Gomes de Carvalho,,,,R. Jose Carlos Gomes de Carvalho - Santo Antônio da Platina,,,-23.2944581875213,-50.0507429032603,,
2021,511,"Requer que seja expedido ofício Gerente da COPEL de Santo Antônio da Platina, Senhor Édison Ferreira Bandeira, agradecendo-lhe pelo ágil e excelente atendimento ao Requerimento n.º 425/2021, de autoria desta Vereadora, realizando a troca do poste danificado da Rua José Carlos Gomes de Carvalho, no Jardim Bellagio.",17,3228,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/3228/511-2021.pdf,"('Gerente',)","('Senhor Édison Ferreira Bandeira',)","('Santo Antônio da Platina', 'Jardim Bellagio')","('COPEL',)",Rua José Carlos Gomes de Carvalho,,,,R. Jose Carlos Gomes de Carvalho - Santo Antônio da Platina,,,-23.2944581875213,-50.0507429032603,,
2022,47,"Requer que seja expedido ofício ao Excelentíssimo Prefeito Municipal, Senhor José da Silva Coelho Neto, que, por meio da Secretaria Municipal de Serviços e Obras Públicas e demais departamentos competentes, verifiquem e providenciem a reposição de tapas de bueiros quebradas no Jardim Bellagio, principalmente na Rua José Carlos Gomes de Carvalho, próximo ao endereço de número 435.
A falta dessas tampas oferece perigo para transeuntes, especialmente em dias de chuva. Além disso, essa ausência facilita o entupimento nos bueiros, ocasionando maior trabalho e custo para o Município.  
Por oportuno, agradecemos a atenção na execução do redutor de velocidade e sinalização nessa localidade, e para melhorar ainda mais, fica este pedido da tampa dos bueiros.",17,3512,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2022/3512/47-2022.pdf,"('Prefeito Municipal',)","('Senhor José da Silva Coelho Neto',)","('Jardim Bellagio',)","('Secretaria Municipal de Serviços e Obras Públicas', 'Município')",Rua José Carlos Gomes de Carvalho,,,,R. Jose Carlos Gomes de Carvalho - Santo Antônio da Platina,,,-23.2944581875213,-50.0507429032603,,
2021,31,Solicita ao Departamento de Estradas de Rodagem - DER/PR a reconstrução das marginais que foram destruídas nas últimas chuvas na Rodovia Alício Dias dos Reis (PR-092).,17,2700,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2700/31-2021.pdf,,,,"('Departamento de Estradas de Rodagem - DER/PR',)",Rodovia Alício Dias dos Reis,,"('PR-092',)",,Rod. Dr. Alício Dias dos Réis - Santo Antônio da Platina,,,-23.275115315947,-50.0771552562655,,
2021,181,"Requer que seja expedido ofício ao Excelentíssimo Prefeito Municipal, Senhor José da Silva Coelho Neto, solicitando-lhe que por meio do Departamento Municipal de Trânsito, que realize análises e a instalação de redutores de velocidade na Rua Antônio de Castro Vilas Boas, no trecho compreendido entre a Praça do Núcleo Habitacional Prefeito Dr. Jamidas Antunes Rodrigues e a Rodovia Alício Dias dos Reis (PR-092). 
Conforme reclamações dos moradores da região, os motociclistas estão excedendo os limites de velocidade, representando um sério risco de acidentes.",142,2865,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2865/181-2021.pdf,"('Prefeito Municipal',)","('Senhor José da Silva Coelho Neto',)","('Núcleo Habitacional Prefeito Dr. Jamidas Antunes Rodrigues',)","('Departamento Municipal de Trânsito',)",Rodovia Alício Dias dos Reis,,"('Praça do', 'PR-092')",,Rod. Dr. Alício Dias dos Réis - Santo Antônio da Platina,,,-23.275115315947,-50.0771552562655,,
2021,416,"Requer que seja expedido ofício ao Excelentíssimo Senhor Deputado Estadual Tercilio Turini, agradecendo pelo trabalho que está desenvolvendo em prol de Santo Antônio da Platina, com a destinação de emendas para as UBS da Vila Ribeiro e da Vila Claro, bem como para recuperação asfáltica da Rodovia Alício Dias dos Reis, desde esse município até a cidade de Andirá.",5,3130,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/3130/416-2021.pdf,"('Deputado Estadual Tercilio Turini',)",,"('Santo Antônio da Platina', 'Vila Ribeiro', 'Vila Claro', 'Andirá')","('UBS',)",Rodovia Alício Dias dos Reis,,,,Rod. Dr. Alício Dias dos Réis - Santo Antônio da Platina,,,-23.275115315947,-50.0771552562655,,
2021,32,"Solicita ao Secretário de Infraestrutura e Logística do Estado do Paraná, Sr. Sandro Alex, que determine a reconstrução das marginais que foram destruídas com as últimas chuvas na Rodovia Alício Dias dos Reis (PR-92).",17,2701,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2701/32-2021.pdf,"('Secretário de Infraestrutura e Logística do Estado do Paraná',)","('Sr. Sandro Alex',)",,,Rodovia Alício Dias dos Reis (PR-92,,,,Rod. Dr. Alício Dias dos Réis - Santo Antônio da Platina,,,-23.275115315947,-50.0771552562655,,
2021,61,"Solicita ao Departamento de Estradas de Rodagem - DER/PR, a construção de uma faixa elevada na Rodovia Alício Dias dos Reis (PR-92), na altura dos Conjuntos Habitacionais Aparecidinho I e II.",17,2731,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2731/61-2021.pdf,,,,"('Departamento de Estradas de Rodagem - DER/PR',)",Rodovia Alício Dias dos Reis (PR-92,,,,Rod. Dr. Alício Dias dos Réis - Santo Antônio da Platina,,,-23.275115315947,-50.0771552562655,,
2021,33,"Solicita ao Secretário de Infraestrutura e Logística do Estado do Paraná, Sr. Sandro Alex, que tome providências para realizar reformas no calçamento da Rodovia Deputado Benedito Lúcio Machado.",17,2702,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2702/33-2021.pdf,"('Secretário de Infraestrutura e Logística do Estado do Paraná',)","('Sr. Sandro Alex',)",,,Rodovia Deputado Benedito Lúcio Machado,,,,Rod. Dep. Benedito Lúcio Machado - Santo Antônio da Platina,,,-23.298077261461,-50.0543756833442,,
2021,34,Solicita ao Departamento de Estradas de Rodagem que realize reformas no calçamento de pedestres da Rodovia Deputado Benedito Lúcio Machado.,17,2703,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2703/34.pdf,,,,"('Departamento de Estradas de Rodagem',)",Rodovia Deputado Benedito Lúcio Machado,,,,Rod. Dep. Benedito Lúcio Machado - Santo Antônio da Platina,,,-23.298077261461,-50.0543756833442,,
2021,83,"Requer que seja expedido ofício à Secretaria de Infraestrutura do Estado do Paraná, Secretário Sandro Alex, solicitando que informe quando as obras de mudança do lado esquerdo para o direito na Rodovia Deputado Benedito Lúcio Machado para canalização de água até o Povoado da Platina poderão começar, visto que até a presente a SANEPAR não iniciou as obras para atendimento de tal serviço.","143,5",2756,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2756/83-2021.pdf,"('Secretário',)",,"('Povoado da Platina',)","('Secretaria de Infraestrutura do Estado do Paraná', 'SANEPAR')",Rodovia Deputado Benedito Lúcio Machado,,,,Rod. Dep. Benedito Lúcio Machado - Santo Antônio da Platina,,,-23.298077261461,-50.0543756833442,,
2021,84,"Requer que seja expedido ofício ao Departamento de Estradas de Rodagem - DER/PR, solicitando que proceda o recape asfáltico da Rodovia Deputado Benedito Lúcio Machado, desde o trevo do cruzamento com a BR-153 até o Povoado da Platina, visto que a mesma se encontra em péssimo estado de conservação, bem como a implantação de calçada para a passagem de pedestres no referido local.","143,5",2757,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2757/84-2021.pdf,,,"('Povoado da Platina',)","('Departamento de Estradas de Rodagem - DER/PR',)",Rodovia Deputado Benedito Lúcio Machado,,"('BR-153',)",,Rod. Dep. Benedito Lúcio Machado - Santo Antônio da Platina,,,-23.298077261461,-50.0543756833442,,
2021,89,"Requer que seja expedido ofício ao Departamento de Estradas de Rodagem – DER/PR, para que proceda operação tapa-buraco na Rodovia Deputado Benedito Lúcio Machado, implantação de redutores de velocidade na mesma, em pontos críticos, bem como melhorias no trevo de acesso ao Povoado da Platina, visto que os acidentes de trânsito são recorrentes nos locais devido à alta velocidade que os veículos trafegam, que já causaram, dentre outros danos, diversas mortes.",20,2764,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2764/89-2021.pdf,,,"('Povoado da Platina',)","('Departamento de Estradas de Rodagem', 'DER/PR')",Rodovia Deputado Benedito Lúcio Machado,,,,Rod. Dep. Benedito Lúcio Machado - Santo Antônio da Platina,,,-23.298077261461,-50.0543756833442,,
2021,92,"Requer que seja expedido ofício ao Excelentíssimo Prefeito Municipal, Senhor José da Silva Coelho Neto, solicitando que determine ao Departamento Municipal de Trânsito que proceda a implantação de uma faixa elevada na Rua José Viera Gusmão (marginal da BR-153), 200 metros antes do trevo na BR-153 que dá acesso a Rodovia Deputado Benedito Lúcio Machado, a fim de melhorar a segurança para os pedestres no local.",13,2767,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2767/92-2021.pdf,"('Prefeito Municipal',)","('Senhor José da Silva Coelho Neto',)",,"('Departamento Municipal de Trânsito',)",Rodovia Deputado Benedito Lúcio Machado,,"('BR-153', 'BR-153')",,Rod. Dep. Benedito Lúcio Machado - Santo Antônio da Platina,,,-23.298077261461,-50.0543756833442,,
2021,143,"Requer que seja expedido ofício ao Excelentíssimo Prefeito Municipal, Senhor José da Silva Coelho Neto, solicitando-lhe:
•	Determine à Secretaria Municipal de Serviços e Obras Públicas proceda melhorias no asfalto das dependências do Hospital Regional, visto que o local encontra-se repleto de buracos;
•	Determine à Secretaria Municipal de Serviços e Obras Públicas proceda melhorias na calçada da Rodovia Deputado Benedito Lúcio Machado, desde o trevo da BR-153 até o Jardim Colorado, visto que a mesma está repleta de buracos, e em alguns pontos nem existe piso;
•	Determine à Secretaria Municipal de Agricultura, Pecuária e Meio Ambiente proceda limpeza no entorno da Capela e da quadra do Jardim Colorado;
•	Informe quais providências tem tomado para sanar o problema existente para a travessia de  veículos e pedestres na BR-153 para o Jardim Santa Terezinha, visto que no local já ocorreram diversos acidentes.",15,2825,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2825/143-2021.pdf,"('Prefeito Municipal',)","('Senhor José da Silva Coelho Neto',)","('Jardim Colorado', 'Jardim Colorado', 'Jardim Santa Terezinha')","('Secretaria Municipal de Serviços e Obras Públicas', 'Hospital Regional', 'Secretaria Municipal de Serviços e Obras Públicas', 'Secretaria Municipal de Agricultura, Pecuária e Meio Ambiente')",Rodovia Deputado Benedito Lúcio Machado,,"('BR-153', 'BR-153')",,Rod. Dep. Benedito Lúcio Machado - Santo Antônio da Platina,,,-23.298077261461,-50.0543756833442,,
2021,144,"Requer que seja expedido ofício ao Departamento de Estradas de Rodagem-DER/PR , solicitando a implantação de uma faixa de pedestres na Rodovia Deputado Benedito Lúcio Machado, em frente à empresa ROUPRIN, visto que, devido a esta e demais empresas instaladas no local, existe um grande fluxo de pessoas que atravessam a via.",15,2826,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2826/144-2021.pdf,,,,"('Departamento de Estradas de Rodagem-DER/PR',)",Rodovia Deputado Benedito Lúcio Machado,"('ROUPRIN',)",,,Rod. Dep. Benedito Lúcio Machado - Santo Antônio da Platina,,,-23.298077261461,-50.0543756833442,,
